date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:22	39297/39297	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2016:56:42%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/feature.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/feature.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:22	15733/15733	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2016:58:10%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-1.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-1.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:22	15607/15607	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2016:58:36%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-2.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-2.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:22	10902/10902	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2016:59:02%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-3.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-3.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:23	9632/9632	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2016:59:38%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-4.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-4.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:23	17135/17135	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2017:00:06%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-5.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-5.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:23	15454/15454	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2018:27:46%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-6.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/portfolio-6.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:23	42553/42553	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Aug%202022%2018:26:12%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/quote.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/quote.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:24	20642/20642	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2001:04:50%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/team-1.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/team-1.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
22:32:24	12564/12564	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2001:04:44%20GMT	https://demo.htmlcodex.com/2565/cctv-camera-website-template/img/team-2.jpg	C:/My%20Web%20Sites/camaratheme/demo.htmlcodex.com/2565/cctv-camera-website-template/img/team-2.jpg	(from https://demo.htmlcodex.com/2565/cctv-camera-website-template/index.html)
